,time,survival,lower,upper,Name
45,48.0,0.33137705146462,0.2517602224113347,0.4186342866521337,RB Kanhai
46,54.0,0.3236706084073032,0.2446910452126061,0.41065732054741455,RB Kanhai
47,55.0,0.3082577222926697,0.230628836032054,0.3946290151658859,RB Kanhai
48,56.0,0.30055127923535296,0.22363678546867552,0.3865767520824024,RB Kanhai
49,57.0,0.2851383931207195,0.20973354791579232,0.3703934156909108,RB Kanhai
50,58.0,0.26972550700608605,0.19594233635975494,0.3541010531510854,RB Kanhai
51,63.0,0.2620190639487692,0.18909051459779086,0.34591232664214355,RB Kanhai
52,64.0,0.2543126208914525,0.18226894701983906,0.3376942422734869,RB Kanhai
53,67.0,0.2466061778341357,0.1754785166302913,0.32944597711293666,RB Kanhai
54,70.0,0.23889973477681894,0.16872018231747127,0.3211666390599308,RB Kanhai
55,74.0,0.23119329171950226,0.1619949870401243,0.31285525960628136,RB Kanhai
56,78.0,0.21578040560486875,0.1486486638351538,0.2961320693071692,RB Kanhai
57,81.0,0.20807396254755198,0.14203013472858705,0.2877178580537152,RB Kanhai
58,85.0,0.19266107643291847,0.1289098081527139,0.2707773324757531,RB Kanhai
59,86.0,0.17724819031828504,0.1159569249888864,0.2536765299453604,RB Kanhai
60,90.0,0.16183530420365155,0.10318846983199433,0.2363999874243464,RB Kanhai
61,91.0,0.14642241808901807,0.09062562951834327,0.2189285623512972,RB Kanhai
62,93.0,0.13871597503170133,0.08442945559856746,0.21011246992087215,RB Kanhai
63,95.0,0.1310095319743846,0.0782953619605728,0.20123811980123416,RB Kanhai
64,97.0,0.12330308891706784,0.0722280158216841,0.1923013892001494,RB Kanhai
65,100.0,0.1155966458597511,0.06623282224406822,0.183297535731452,RB Kanhai
66,105.0,0.10789020280243436,0.06031609759824396,0.1742210593142387,RB Kanhai
67,106.0,0.10018375974511763,0.05448529957245881,0.16506552142074493,RB Kanhai
68,111.0,0.09247731668780088,0.048749338025842665,0.1558233043310817,RB Kanhai
69,116.0,0.08477087363048415,0.04311900435637154,0.14648528403218894,RB Kanhai
70,118.0,0.0770644305731674,0.03760757968627791,0.13704037548083758,RB Kanhai
71,122.0,0.06935798751585066,0.03223172203275853,0.12747488334259693,RB Kanhai
72,130.0,0.06165154445853392,0.02701280620446541,0.1177715454020528,RB Kanhai
73,139.0,0.05394510140121718,0.021979033598641853,0.10790806915939588,RB Kanhai
