,time,survival,lower,upper
137,137,0.0653053909125277,0.0603810976213832,0.0686916099055368
138,138,0.0636239398176038,0.058940793708304996,0.0669782935544513
139,139,0.0621544390690364,0.0578685091228049,0.06548039451464799
140,140,0.0610601707755674,0.0568457176691032,0.0643647251309272
141,141,0.0600159374319708,0.0559306432938756,0.0632998604019596
142,142,0.0590816233877002,0.054254983605758,0.0623467732035828
143,143,0.0573699128035706,0.0528989817206386,0.0606001568069928
144,144,0.055984166117494,0.0518103114292624,0.0591855660401006
145,145,0.0548711608268878,0.0507741637432731,0.058049031980794995
146,146,0.0538116567052304,0.0501164093869755,0.0569667638061782
147,147,0.053139010996415,0.0491809228142719,0.0562795636770405
148,148,0.0521820584678779,0.0481863994823172,0.0553017367908911
149,149,0.0511644235248423,0.0474096438407084,0.0542616473186391
150,150,0.0503694158341123,0.0465744710401119,0.0534489201784429
151,151,0.0495147311762936,0.0456195131688726,0.0525749838204667
152,152,0.0485370884004551,0.0446591831803007,0.0515752608912506
153,153,0.0475536193863815,0.0435242434816606,0.0505693518677458
154,154,0.0463909392057854,0.0429527451914452,0.0493797535870966
155,155,0.0458059336672509,0.0421430696011555,0.0487810937009718
156,156,0.0449763307289048,0.0417365029822356,0.0479322570273133
157,157,0.0445598832221557,0.04091911410985399,0.0475060816657165
158,158,0.0437225162891219,0.0402701483105842,0.0466490484894039
159,159,0.0430573051145986,0.0396786661605864,0.0459682396226692
160,160,0.0424508641974916,0.0387300529562353,0.0453474217132572
161,161,0.0414777784852282,0.0379570728440393,0.0443509152834224
162,162,0.0406848209553635,0.0373580602993034,0.0435385328641283
163,163,0.0400702466206903,0.036695240307558996,0.0429088301640865
164,164,0.039390041816944,0.0362101046199544,0.0422117756805022
165,165,0.0388922213832386,0.0357219893230409,0.0417015654060172
166,166,0.0383911943766912,0.0348030684777748,0.0411880408703281
167,167,0.03744714861333,0.0336994582920215,0.0402201632135925
168,168,0.0363123865341382,0.0332089500175761,0.0390559482986607
169,169,0.0358080478322751,0.0325314556209292,0.0385381958975169
170,170,0.0351108999983724,0.032222990606531006,0.0378223503153796
171,171,0.0347934415897072,0.0320993213717813,0.0374962734061586
172,172,0.0346662260811525,0.0316660524152333,0.0373655921608504
173,173,0.0342201533190789,0.0311079451217882,0.036907299549376
174,174,0.0336455611924526,0.0306090795709623,0.036316768029351
175,175,0.0331318885024914,0.0302329595573018,0.0357887489398674
176,176,0.0327443810346261,0.0291659521810782,0.0353903772052298
177,177,0.0316442733714074,0.0283472245690001,0.0342587722318897
178,178,0.0307995597085156,0.0278412582023246,0.0333892617551659
179,179,0.0302775332727781,0.0273324155227092,0.0328516715250623
180,180,0.0297521097018839,0.026822838475078,0.0323104827105782
181,181,0.0292255236894611,0.0266318253951076,0.0317678641801308
182,182,0.0290280539348026,0.0261218891854329,0.0315643042240824
183,183,0.0285014679223799,0.0257996067047568,0.0310212662379803
184,184,0.0281685068485203,0.0255405201023445,0.0306779596566638
185,185,0.0279008725791757,0.0251502444073456,0.0304019883103844
186,186,0.0274974864695973,0.0247584932070847,0.0299859861124813
187,187,0.0270921181186941,0.0243013624825542,0.0295678545140834
188,188,0.0266191883759738,0.0239077881156568,0.0290797729768928
189,189,0.0262117518191987,0.0238413360705092,0.028659175943734
190,190,0.026143669346941,0.0235091729495819,0.0285888837765169
191,191,0.0257996736976391,0.0231106033642661,0.0282338462636494
192,192,0.0253868789184769,0.022445080194997,0.0278075860058299
193,193,0.0246970180783009,0.0221783581699522,0.0270948006405992
194,194,0.0244203007889082,0.0217116657690854,0.0268087430543558
195,195,0.0239360455324709,0.0212441103456055,0.026307868687506
196,196,0.0234503866376092,0.0204434510055242,0.0258052746928288
197,197,0.0226178285321319,0.0200433220458157,0.0249428247345816
198,198,0.0222015494793933,0.0199762552322057,0.0245111803658162
199,199,0.0221319521456021,0.0194395591531037,0.0244390006197867
200,200,0.0215734170756815,0.0188971970731557,0.0238595598449539
201,201,0.0210112433408104,0.0182631833508265,0.0232760398992921
202,202,0.0203523541768128,0.017905936629473,0.0225932563100752
203,203,0.0199809608524184,0.0174724982737743,0.0222083948446197
204,204,0.0195319504961843,0.0171006268653356,0.021742952660832
205,205,0.0191459435693822,0.0164995396826369,0.0213433686596244
206,206,0.0185207699018106,0.0157433105187361,0.0206960258412152
207,207,0.0177326520336484,0.0153638414074204,0.0198790551533655
208,208,0.0173368339078974,0.0150590167372502,0.0194682568644287
209,209,0.0170187268637157,0.0149057529780676,0.0191379124846768
210,210,0.0168589266114743,0.0145219583458171,0.0189719177788295
211,211,0.0164575235969154,0.0140616442486197,0.0185547817770235
212,212,0.0159758399794447,0.0139846510347257,0.018053568739106997
213,213,0.0158951539189424,0.0135227016144719,0.0179695760846778
214,214,0.015411037555928998,0.0133672766986304,0.0174651792913099
215,215,0.0152488161079718,0.013054922272438,0.0172960659389034
216,216,0.0149208845787681,0.0128204357815371,0.016954243699821
217,217,0.0146749359318653,0.0124275658283929,0.0166976285793807
218,218,0.0142627186304085,0.0122690222434104,0.0162672556507166
219,219,0.0140959032078306,0.011951742528578,0.0160930957655178
220,220,0.0137622723626748,0.0117129089998104,0.0157444509853389
221,221,0.0135105234779917,0.0113948730802451,0.0154812273250664
222,222,0.0131748582984143,0.0111555320074996,0.0151298568102827
223,223,0.0129231094137312,0.0106726061137294,0.0148660177332247
224,224,0.0124129866737155,0.010349338587814002,0.0143312085136837
225,225,0.0120705594551303,0.0101879176619266,0.013971778722826001
226,226,0.0118993458458376,0.00946335141489341,0.0137918528224905
227,227,0.0111288846040208,0.00930275791361113,0.0129803747299863
228,228,0.0109576709947282,0.009222520622370679,0.0127996289546937
229,229,0.0108720641900819,0.009222520622370679,0.0127091971780107
230,230,0.0108720641900819,0.00906146500281886,0.0127091971780107
231,231,0.0107008505807892,0.008818413119743771,0.0125282140791235
232,232,0.0104419590344798,0.00841100894153912,0.0122544697975738
233,233,0.0100068774080432,0.008247137354324391,0.0117939506988236
234,234,0.009831318155270479,0.00808346466336822,0.011607977417152
235,235,0.0096557589024978,0.00783663943945292,0.0114218073859121
236,236,0.00939242002333877,0.0077524565331417205,0.0111421744322314
237,237,0.00930296840406887,0.00750026628098811,0.0110472864120751
238,238,0.00903200815929017,0.00750026628098811,0.0107598301382729
239,239,0.00903200815929017,0.007332444925216541,0.0107598301382729
240,240,0.00885136799610437,0.007081185420534291,0.0105678907342349
241,241,0.00858040775132566,0.007080209793011459,0.0102795148306385
242,242,0.00858040775132566,0.00682454040612204,0.0102795148306385
243,243,0.00830656495075144,0.00665168368376316,0.00998785249679057
244,244,0.008119900569835671,0.00656425564582708,0.00978923150005673
245,245,0.008026568379377791,0.00656425564582708,0.00968980489114513
246,246,0.008026568379377791,0.006563109377438679,0.00968980489114513
247,247,0.008026568379377791,0.0065619330507650205,0.00968980489114513
248,248,0.008026568379377791,0.0065607254811575295,0.00968980489114513
249,249,0.008026568379377791,0.0064698634793275795,0.00968980489114513
250,250,0.00792868339914148,0.0062884330966055,0.00958609208904349
251,251,0.00773291343866885,0.0061978673287265106,0.00937837679682541
