,Name,time,hazard,removed,observed,censored,entrance,at_risk,Smooth Haz,Smooth2 Haz
60,Tamim Iqbal,,0.038461538461538464,1.0,1.0,0.0,0.0,26.0,0.025076960025867134,0.026091183494627846
61,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.025076960025867134,0.02581275540770188
62,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.027469304523474788,0.02565476571653648
63,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.024127616971260923,0.02555973245951865
64,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.023469722234418816,0.025529119739768097
65,Tamim Iqbal,,0.04,1.0,1.0,0.0,0.0,25.0,0.023469722234418816,0.02568317922685042
66,Tamim Iqbal,,0.041666666666666664,1.0,1.0,0.0,0.0,24.0,0.027255502474492686,0.025813495144482803
67,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.02544062044182481,0.025992008478733647
68,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.021681221945584205,0.026536488076525252
69,Tamim Iqbal,,0.043478260869565216,1.0,1.0,0.0,0.0,23.0,0.021681221945584205,0.027403821182765936
70,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.025848880912004785,0.028176071344985114
71,Tamim Iqbal,,0.045454545454545456,1.0,1.0,0.0,0.0,22.0,0.025848880912004785,0.028948321507204295
72,Tamim Iqbal,,0.047619047619047616,1.0,1.0,0.0,0.0,21.0,0.025848880912004785,0.029468745932833194
73,Tamim Iqbal,,0.05,1.0,1.0,0.0,0.0,20.0,0.025848880912004785,0.030033139931517544
74,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.029357652841829347,0.0304936558138584
75,Tamim Iqbal,,0.10526315789473684,2.0,2.0,0.0,0.0,19.0,0.031011788180175207,0.030954171696199254
76,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.032867388719986276,0.030923848291958
77,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.037253353632266985,0.03098904499469926
78,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.04203804262748229,0.03152911308643934
79,Tamim Iqbal,,0.11764705882352941,2.0,2.0,0.0,0.0,17.0,0.03974971310803149,0.03206918117817942
80,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.03974971310803149,0.03206400666829756
81,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.037357368610423845,0.03205883215841571
82,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.034851102946263444,0.032053657648533844
83,Tamim Iqbal,,0.06666666666666667,1.0,1.0,0.0,0.0,15.0,0.03221952399889502,0.03204848313865199
84,Tamim Iqbal,,0.07142857142857142,1.0,1.0,0.0,0.0,14.0,0.03221952399889502,0.031673964215104385
